step,episode,ep_return,moving_return,loss,epsilon
9100,182,-7.5000,-7.7280,0.012208,0.9136
9150,183,-6.3000,-7.6920,,0.9131
9200,184,-8.7000,-7.7040,0.009305,0.9126
9250,185,-8.7000,-7.7640,,0.9121
9300,186,-6.3000,-7.7280,0.008209,0.9117
9350,187,-6.3000,-7.6920,,0.9112
9400,188,-8.1000,-7.7400,0.004959,0.9107
9450,189,-7.5000,-7.7280,,0.9102
9500,190,-8.1000,-7.7280,0.004291,0.9098
9550,191,-8.1000,-7.7400,,0.9093
9600,192,-8.1000,-7.7520,0.005053,0.9088
9650,193,-5.7000,-7.7040,,0.9083
9700,194,-6.9000,-7.6800,0.003417,0.9079
9750,195,-7.5000,-7.6560,,0.9074
9800,196,-8.1000,-7.6560,0.007490,0.9069
9850,197,-5.1000,-7.5960,,0.9064
9900,198,-7.5000,-7.5720,0.004194,0.9060
9950,199,-7.5000,-7.5600,,0.9055
10000,200,-7.5000,-7.5480,0.003758,0.9050
